Row Labels;4TC_PCURMON;4TC_P+1MON
10/10/2012;6508;8100
11/10/2012;6611;7971
12/10/2012;6393;7593
15/10/2012;6407;7536
16/10/2012;6621;8029
17/10/2012;6164;7264
18/10/2012;6064;7064
19/10/2012;6121;7114
22/10/2012;6183;7300
23/10/2012;6175;7693
24/10/2012;6093;7071
25/10/2012;6036;7114
26/10/2012;6064;7014
29/10/2012;6029;6825
30/10/2012;6029;6854
31/10/2012;6750;6758
01/11/2012;6350;6468
02/11/2012;6444;6613
05/11/2012;6620;6810
06/11/2012;6311;6550
07/11/2012;6286;6532
08/11/2012;6479;6821
09/11/2012;6646;7104
12/11/2012;6396;7229
13/11/2012;6579;7525
14/11/2012;6550;7532
15/11/2012;6646;7629
16/11/2012;6736;7750
19/11/2012;6907;7943
20/11/2012;6779;7864
21/11/2012;6864;8121
22/11/2012;6970;8270
23/11/2012;6975;8225
26/11/2012;6962;7886
27/11/2012;6867;7583
28/11/2012;6888;7400
29/11/2012;6876;7364
30/11/2012;7367;5850
03/12/2012;7304;5808
04/12/2012;7307;5800
05/12/2012;7021;5596
06/12/2012;7058;5517
07/12/2012;7108;5488
10/12/2012;7108;5504
11/12/2012;7014;5393
12/12/2012;7000;5343
13/12/2012;7007;5356
14/12/2012;7007;5386
17/12/2012;6971;5543
18/12/2012;6913;5417
19/12/2012;6850;5071
20/12/2012;6850;5057
21/12/2012;6848;5144
24/12/2012;5238;5575
27/12/2012;5319;5575
28/12/2012;5344;5575
31/12/2012;5344;5575
02/01/2013;5407;5607
03/01/2013;5479;5764
04/01/2013;5493;5871
07/01/2013;5700;6200
08/01/2013;5814;6529
09/01/2013;5957;6607
10/01/2013;6014;6729
11/01/2013;5864;6571
14/01/2013;5629;6300
15/01/2013;5771;6643
16/01/2013;5686;6479
17/01/2013;5633;6375
18/01/2013;5575;6392
21/01/2013;5595;6550
22/01/2013;5592;6442
23/01/2013;5604;6389
24/01/2013;5625;6354
25/01/2013;5650;6207
28/01/2013;5658;6200
29/01/2013;5618;5821
30/01/2013;5619;5643
31/01/2013;5632;7207
01/02/2013;5633;7238
04/02/2013;5654;7282
05/02/2013;5600;7293
06/02/2013;5614;7275
07/02/2013;5846;7679
08/02/2013;6018;7921
11/02/2013;6036;8011
12/02/2013;5943;7836
13/02/2013;6186;8196
14/02/2013;6400;8393
15/02/2013;6439;8436
18/02/2013;6492;8625
19/02/2013;6379;8204
20/02/2013;6350;8142
21/02/2013;6386;8493
22/02/2013;6414;8657
25/02/2013;6407;8714
26/02/2013;6375;8721
27/02/2013;6414;8919
28/02/2013;9225;9875
01/03/2013;9600;10114
04/03/2013;9833;10304
05/03/2013;9636;10200
06/03/2013;9425;10021
07/03/2013;9182;9879
08/03/2013;9329;9979
11/03/2013;9292;9950
12/03/2013;9407;10179
13/03/2013;9479;10386
14/03/2013;9386;10293
15/03/2013;9442;10471
18/03/2013;9443;10550
19/03/2013;9350;10329
20/03/2013;9275;10086
21/03/2013;9304;10167
22/03/2013;9317;10150
25/03/2013;9279;9850
26/03/2013;9232;9679
27/03/2013;9192;9408
28/03/2013;9339;9171
02/04/2013;9150;8993
03/04/2013;8807;8782
04/04/2013;8736;8750
05/04/2013;8964;9029
08/04/2013;9057;9286
09/04/2013;8993;9207
10/04/2013;9154;9450
11/04/2013;9171;9514
12/04/2013;9213;9617
15/04/2013;9214;9600
16/04/2013;9257;9614
17/04/2013;9354;9804
18/04/2013;9275;9396
19/04/2013;9300;9436
22/04/2013;9225;9164
23/04/2013;9100;8500
24/04/2013;9046;8188
25/04/2013;8930;7930
26/04/2013;8910;7760
29/04/2013;8942;7850
30/04/2013;7696;7286
01/05/2013;7671;7292
02/05/2013;7979;7493
03/05/2013;8117;7567
07/05/2013;7968;7407
08/05/2013;7700;7242
09/05/2013;7739;7250
10/05/2013;7733;7208
13/05/2013;7739;7189
14/05/2013;7517;6783
15/05/2013;7379;6529
16/05/2013;7339;6325
17/05/2013;7332;6264
20/05/2013;7342;6354
21/05/2013;7367;6317
22/05/2013;7370;6260
23/05/2013;7350;6189
24/05/2013;7371;6161
28/05/2013;7336;5979
29/05/2013;7364;6007
30/05/2013;7358;5888
