Row Labels;4TC_PCURMON;4TC_P+1MON;Days until M CURM;Days until M +1MON;CURM days away;1MON  days away;22;Total days;Perpetual
22/07/2011;12550;11250;9;40;13;18;;31;12005
25/07/2011;12571;11293;6;37;16;15;;31;11911
26/07/2011;12618;11393;5;36;17;14;;31;11946
27/07/2011;12657;11275;4;35;18;13;;31;11855
28/07/2011;12625;11214;3;34;19;12;;31;11760
29/07/2011;11208;11458;2;33;20;11;;31;11369
01/08/2011;11121;11414;30;60;8;38;;46;11172
02/08/2011;11168;11471;29;59;7;37;;44;11216
03/08/2011;11367;11675;28;58;6;36;;42;11411
04/08/2011;11367;11708;27;57;5;35;;40;11410
05/08/2011;11400;11675;26;56;4;34;;38;11429
08/08/2011;11414;11621;23;53;1;31;;32;11420
09/08/2011;11471;11693;22;52;0;30;;30;11471
10/08/2011;11625;11739;21;51;1;29;;30;11629
11/08/2011;11814;11936;20;50;2;28;;30;11822
12/08/2011;12082;12257;19;49;3;27;;30;12100
15/08/2011;12198;12413;16;46;6;24;;30;12241
16/08/2011;12264;12479;15;45;7;23;;30;12314
17/08/2011;12293;12464;14;44;8;22;;30;12339
18/08/2011;12414;12789;13;43;9;21;;30;12527
19/08/2011;12421;13007;12;42;10;20;;30;12616
22/08/2011;12593;13393;9;39;13;17;;30;12940
23/08/2011;12507;13150;8;38;14;16;;30;12807
24/08/2011;12507;13086;7;37;15;15;;30;12797
25/08/2011;12481;12771;6;36;16;14;;30;12636
26/08/2011;12461;12714;5;35;17;13;;30;12604
30/08/2011;12558;13025;1;31;21;9;;30;12885
31/08/2011;13309;13079;0;30;22;8;;30;13140
01/09/2011;13491;13279;29;60;7;38;;45;13458
02/09/2011;13479;13386;28;59;6;37;;43;13466
05/09/2011;13240;13165;25;56;3;34;;37;13234
06/09/2011;13221;13146;24;55;2;33;;35;13217
07/09/2011;13286;13236;23;54;1;32;;33;13284
08/09/2011;13717;13758;22;53;0;31;;31;13717
09/09/2011;13836;13871;21;52;1;30;;31;13837
