"","Handysize.Bulker.Orderbook..No.","Handymax.Bulker.Orderbook..No.","Panamax.Bulker.Orderbook..No.","Capesize.Bulker.Orderbook..No.","Handysize.Bulker.Orderbook..CGT.","Handymax.Bulker.Orderbook..CGT.","Panamax.Bulker.Orderbook..CGT.","Capesize.Bulker.Orderbook..CGT.","Handysize.Bulker.Orderbook..DWT.","Handymax.Bulker.Orderbook..DWT.","Capesize.Bulker.Orderbook..DWT.","Handysize.Bulker.Orderbook..GT.","Handymax.Bulker.Orderbook..GT.","Capesize.Bulker.Orderbook..GT.","Panamax.Bulker.Orderbook..DWT."
"12-04-2020",278.656684661598,238.266052006368,251.986728425772,189.352704315355,3066571.89955902,4169580.32879783,5061899.59886279,6643566.02523101,7763738.34746429,14476483.9236728,41480601.1624887,4869696.35628762,8645593.85456145,21761868.531654,21065373.703015
"13-04-2020",278.640284766566,237.999348108648,251.7568015856,189.028405267718,3065516.34881892,4164839.6813507,5057423.65357138,6632238.98990616,7759723.71685334,14459006.3483233,41410158.2944647,4867249.128743,8635654.38786967,21724617.2148133,21047172.6931497
"14-04-2020",278.633463619301,237.748598662755,251.498621058019,188.722808113421,3064570.44829478,4160407.65910954,5052391.2587502,6621478.80593625,7756039.75679938,14442562.1752781,41342861.4534304,4864971.7675486,8626393.63438691,21689017.3725447,21026646.7415084
"15-04-2020",278.636221212992,237.513803417691,251.212186584589,188.435912546553,3063734.19703996,4156284.25763793,5046802.40936175,6611285.46255001,7752686.46361518,14427151.3880766,41278710.5720197,4862864.27042508,8617811.58484319,21655068.9692115,21003795.8275443
"16-04-2020",278.648557550396,237.294962138416,250.897497878573,188.167718279914,3063007.59421727,4152469.47280815,5040657.09981129,6601658.94954332,7749663.83394378,14412773.9712919,41217705.5860137,4860926.63526263,8609908.23064747,21622771.9708294,20978619.9283825
"17-04-2020",278.670472643889,237.092074605881,250.554554624965,187.918225045043,3062390.63909965,4148963.30080181,5033955.32394733,6592599.25727998,7746971.86476023,14399429.9105327,41159846.434346,4859158.8601221,8602683.56388885,21592126.3450689,20951119.0188218
"18-04-2020",278.701966515374,236.905140616957,250.18335648045,187.687432592172,3061883.33106912,4145765.73810855,5026697.07506081,6584106.37669043,7744610.55336869,14387119.1924393,41105133.0590946,4857560.94323322,8596137.57733411,21563132.0612511,20921293.0713313
"19-04-2020",278.743039196398,236.734159984533,249.783903073449,187.47534069027,3061485.66961805,4142876.78152779,5018882.34588603,6576180.29927294,7742579.897406,14375841.8046893,41053565.4054889,4856132.88299679,8590270.26443108,21535789.0903513,20889142.0560545
"20-04-2020",278.793690728052,236.579132537426,249.35619400408,187.281949127019,3061197.6543481,4140296.42816717,5010511.12859988,6568821.0170931,7740879.89483865,14365597.7359921,41005143.4219075,4854874.67798279,8585081.61930553,21510097.4049982,20854665.9408058
"21-04-2020",278.853921161039,236.44005812044,248.900228844182,187.107257708824,3061019.2849709,4138024.67544353,5001583.41482232,6562028.52278383,7739510.54396469,14356386.9760926,40959867.0598769,4853786.32693158,8580571.63676318,21486056.9794726,20817864.691073
"22-04-2020",278.923730555709,236.316936594419,248.41600713735,186.951266260833,3060950.56130861,4136061.52108377,4992099.195617,6555802.80954623,7738471.84341527,14348209.5157739,40917736.2740774,4852867.82875492,8576740.31229139,21463667.7897111,20778738.2700189
"23-04-2020",279.003118981879,236.209767836044,247.903528398819,186.813974626868,3060991.48329163,4134406.96312159,4982058.46148906,6550143.8711474,7737763.79214849,14341065.3468464,40878751.0223304,4852119.182532,8573587.64205264,21442929.8132993,20737286.6384735
"24-04-2020",279.09208651906,236.118551738074,247.362792115591,186.695382669503,3061142.05096139,4133060.9999013,4971461.20238762,6545051.70192271,7737386.38945675,14334954.4621603,40842911.2656111,4851540.38751414,8571113.62289215,21423843.0294779,20693509.7549431
"25-04-2020",279.190633256318,236.0432882092,246.793797746373,186.59549027003,3061402.26446869,4132023.63007563,4960307.40770448,6540526.29677489,7737339.63496242,14329876.8555987,40810216.9680436,4851131.44312206,8569318.25233349,21406407.4191409,20647407.5756056
"26-04-2020",279.298759292258,235.983977174041,246.196544721548,186.514297328435,3061772.12407348,4131294.85260546,4948597.06627364,6536567.65117335,7737623.52861734,14325832.5220765,40780668.0968968,4850892.34894553,8568201.52857814,21390622.9648333,20598980.0543085
"27-04-2020",279.416464735142,235.940618573243,245.571032443254,186.451803763445,3062251.6301463,4130874.66676156,4936330.16637284,6533175.76115541,7738238.07070645,14322821.4575462,40754264.6225915,4850823.10474566,8567763.4505088,21376489.6507543,20548227.142575
"28-04-2020",279.54374970281,235.913212363415,244.917260285333,186.408009512507,3062840.78316727,4130763.07212351,4923506.69572249,6530350.62332584,7739183.26184528,14320843.6589942,40731006.5186979,4850923.71045337,8568004.01768735,21364007.4627564,20495148.7895995
"29-04-2020",279.680614322667,235.90175851711,244.235227593316,186.38291453178,3063539.58372601,4130960.06857943,4910126.64148548,6528092.23485653,7740459.1029796,14319899.1244401,40710893.7619335,4851194.16616911,8568923.23035426,21353176.3883445,20439744.9422473
"30-04-2020",279.827058731727,235.906257022863,243.524933684464,186.376518796139,3064348.03252213,4131465.65632652,4896189.99026789,6526400.59348654,7742065.59538672,14319987.8529384,40693926.3321632,4851634.47216369,8570521.0894297,21343996.4166754,20382015.5450572
"01-05-2020",279.983083076576,235.926707885171,242.786377847737,186.38882229918,3065266.13036478,4132279.83587079,4881696.7281184,6525275.6975225,7744002.74067452,14321109.8445775,40680104.2124022,4852244.6288777,8572797.596513,21336467.5385597,20321960.540239
"02-05-2020",280.137084834372,235.945699476342,242.062151433055,186.397542291805,3066197.8598581,4133053.27051533,4867474.78255108,6524102.2440409,7745997.60088876,14322172.9139019,40666322.6946655,4852915.89711385,8574969.14083489,21328972.542422,20263014.0902627
"03-05-2020",280.289064159256,235.96323181537,241.352253715434,186.402678782734,3067143.22193457,4133785.96103411,4853524.13932906,6522880.23186682,7748050.17802586,14323177.0619748,40652581.7651559,4853648.27754377,8577035.72456864,21321511.4207587,20205176.13612
"04-05-2020",280.439021203366,235.979304919798,240.656683984225,186.404231777107,3068102.21754049,4134477.90816044,4839844.78448694,6521609.65977691,7750160.47414035,14324122.2898009,40638881.4101176,4854441.77090047,8578997.34978268,21314084.1661006,20148446.6199119
"05-05-2020",280.586956116832,235.993918805741,239.975441543144,186.402201276491,3069074.84763609,4135129.11258744,4826436.70433134,6520290.52649968,7752328.49134539,14325008.5983279,40625221.6158385,4855296.37797871,8580854.01844159,21306690.7710141,20092825.4848506
"06-05-2020",280.732869047738,236.007073487812,239.30852571023,186.396587278844,3070061.11319492,4135739.57496668,4813299.88544003,6518922.83071426,7754554.23181097,14325835.9884421,40611602.3686421,4856212.0996338,8582605.73240338,21299331.2280969,20038312.6752562
"07-05-2020",280.876760142133,236.01876897917,238.655935817864,186.387389778543,3071061.01520412,4136309.29590916,4800434.31466233,6517506.57105149,7756837.69776475,14326604.4609712,40598023.6548951,4857188.93678215,8584252.49342135,21292005.5299816,19984908.1365585
"08-05-2020",281.018629544074,236.029005291532,238.01767121278,186.374608766386,3072074.55466476,4136838.27598531,4787839.97911934,6516041.74609377,7759178.89149292,14327314.016685,40584485.4610052,4858226.89040183,8585794.30314424,21284713.6693354,19932611.8152976
"09-05-2020",281.158477395581,236.037782435156,237.393731256053,186.358244229582,3073101.73259151,4137326.51572483,4775516.86620369,6514528.35437483,7761577.81533931,14327964.6562945,40570987.7734205,4859325.96153203,8587231.16311582,21277455.6388589,19881423.659123
