Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;
Created 23 February 2024 11:49;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;No;No;No;No;CGT;CGT;CGT;CGT;DWT;DWT;DWT;GT;GT;GT;DWT
Date;Handysize Bulker Orderbook [No];Handymax Bulker Orderbook [No];Panamax Bulker Orderbook [No];Capesize Bulker Orderbook [No];Handysize Bulker Orderbook [CGT];Handymax Bulker Orderbook [CGT];Panamax Bulker Orderbook [CGT];Capesize Bulker Orderbook [CGT];Handysize Bulker Orderbook [DWT];Handymax Bulker Orderbook [DWT];Capesize Bulker Orderbook [DWT];Handysize Bulker Orderbook [GT];Handymax Bulker Orderbook [GT];Capesize Bulker Orderbook [GT];Panamax Bulker Orderbook [DWT]
Jan-2008;1147;927;590;696;12525899.26496;15295127.48575;11729843.15544;21804604.58854;30740341;52146949;127328001;19588381;30489702;65982218;49047482
Feb-2008;1271;957;651;719;13695147.93648;15802124.9805;12940818.03133;22535676.15975;33412967;53858627;131587506;21258295;31518847;68201313;54070573
Mar-2008;1289;994;653;741;13917189.48924;16412302.54977;12979814.92335;23225935.20347;33990335;56000566;135597569;21624363;32733101;70291361;54236006
Apr-2008;1328;1029;664;765;14404929.41196;16992698.7569;13201294.70223;24012777.40736;35300770;57979563;140322483;22442398;33892945;72749164;55158340
May-2008;1354;1080;705;798;14754789.48769;17834173.16808;14033953.48488;25016873.44982;36225441;60917615;146047565;23040558;35568341;75716189;58691296
Jun-2008;1354;1090;712;819;14832559.42186;17997803.324;14189333.97546;25704526.42871;36516613;61511633;150193387;23231482;35891677;77881444;59361438
Jul-2008;1350;1103;724;829;14831729.37755;18220094.89373;14420077.13357;25993267.16894;36557249;62315793;151737845;23271790;36343877;78696436;60290344
Aug-2008;1394;1148;738;873;15448549.73446;18952687.26438;14720009.50556;27604205.59517;38282757;64836563;162464143;24354015;37792344;84184363;61562422
Sep-2008;1388;1149;742;885;15393024.63435;18980234.07751;14809231.6219;27996700.01975;38145634;64933806;164836155;24277823;37861256;85428651;61967122
Oct-2008;1404;1175;754;903;15606157.75615;19394436.49642;15052138.2777;28490909.18892;38699143;66435205;167443217;24642413;38663944;86791803;62943520
