Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;;
Created 23 February 2024 11:52;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Date;No;No;No;No;DWT;DWT;DWT;DWT;$m;$m;$m;$m;GT;GT;GT;GT
Date;Handysize Bulker Sales [No];Handymax Bulker Sales [No];Panamax Bulker Sales [No];Capesize Sales [No];Handysize Bulker Sales [DWT];Handymax Bulker Sales [DWT];Panamax Bulker Sales [DWT];Capesize Sales [DWT];Handysize Bulker Sales [$m];Handymax Bulker Sales [$m];Panamax Bulker Sales [$m];Capesize Sales [$m];Handysize Bulker Sales [GT];Handymax Bulker Sales [GT];Panamax Bulker Sales [GT];Capesize Sales [GT]
Jan-2009;15;8;8;1;411008;389516;557858;170082;109.45;127.75;122.425;27;248888;233821;300065;85590
Feb-2009;25;9;6;6;743836;424200;410772;1077335;112.8;122.6;87.3;145.75;447110;242601;221307;539567
Mar-2009;32;20;6;3;897639;913185;420469;511597;220.6;230.03;92.65;64.9;541715;519044;225585;262118
Apr-2009;31;14;9;4;865816;666449;634823;660728;169.81;229.4;155.05;145.7;525992;401418;338870;347019
May-2009;25;13;16;8;691248;604685;1174906;1291482;160.2;148.62;342.35;208.65;420094;348123;618855;658609
Jun-2009;24;12;20;11;666986;595490;1419889;1908659;146.67;199.75;346.85;563.9;406548;342490;755320;978078
Jul-2009;25;16;10;7;720512;791576;701999;1197307;172.25;261.7;228.9;340.35;438441;455198;373105;607374
Aug-2009;10;6;5;2;278808;287653;360388;312616;73.3;113.6;93.5;61.75;169997;163841;191515;163237
Sep-2009;14;9;3;2;393584;422235;199550;360263;126.9;165.49472;37.2;121;246335;245459;103282;184091
Oct-2009;18;9;5;1;484044;429355;366743;151221;199.85;153.1;129.8;17.1;300201;251411;190524;77336
Nov-2009;10;23;19;2;272212;1043341;1353543;324881;150.83988;312.8;379.22;41.7;170410;602853;720940;168254
Dec-2009;14;14;21;1;434221;746154;1501594;177359;119.23;231.5;702.95;52;260358;436944;799349;89492
Jan-2010;11;6;7;6;344891;283828;493475;1001850;133.66554;111.8;165.3;218.2;208871;176661;262330;522653
Feb-2010;18;16;14;6;553176;805709;964158;940843;204.15;389.03184;231.45;206.23;336606;481365;511817;486493
Mar-2010;20;17;10;2;562829;918390;756538;354411;342.8;523.36;320.85;114.5;350005;541207;400524;178944
Apr-2010;10;13;9;5;300883;623425;663744;928490;139.7;190.3261;280.7;232.97;191370;361864;350209;470477
May-2010;12;8;5;3;333766;401533;384467;448808;212.85;195.5;72.2;40.2;212266;232846;213579;230527
Jun-2010;23;21;8;8;744459;1156213;587904;1329295;496.75;681.25;183.6;468.024;473653;658196;311949;687590
Jul-2010;10;4;5;1;225206;177059;358917;180000;78.88104;79;71.4802;0;138118;101282;194210;92839
Aug-2010;13;1;5;2;350362;52191;364621;300493;162.75;29.5;141;44.6;216454;30374;191673;154484
Sep-2010;16;14;9;2;479352;673520;686686;373588;208;313.65;247.6;76;298048;392213;374112;192159
Oct-2010;20;6;12;4;613278;290827;868593;691904;207.33058;155.65;320.35;197.7;376531;165654;462804;352682
Nov-2010;18;8;12;6;531080;405181;935242;1038945;253.16041;202.2;309.81575;191.5;326250;235597;499324;533790
Dec-2010;18;6;5;1;531394;330002;354741;151511;265.6;159.5;102.25;20;332884;186836;190141;75124
Jan-2011;14;4;2;5;414043;175455;141847;863535;87.08166;37.75;43.03075;206;268499;123662;75974;449037
Feb-2011;10;4;2;1;304181;192442;131692;180000;89.6;73.55;21.2;61.25;183987;121705;72305;93565
Mar-2011;15;19;5;3;422790;965448;403941;489685;170.12;403.31;140.3;89.1625;263839;572391;218112;255646
Apr-2011;14;10;5;1;380060;473158;376062;169146;147.05;154.1;127.25;12;241372;278393;197899;89004
May-2011;11;9;11;3;331987;426840;799649;513729;76.7;155.15;265.49;103.5;196989;266777;425728;262559
Jun-2011;28;7;4;3;844270;336353;266041;449153;298.11294;123.3;46.05;44.2;510808;195248;145641;227584
Jul-2011;10;10;6;2;280222;473589;447262;301459;93;129.05;162.2;33;172657;283615;240964;154553
Aug-2011;9;4;3;4;243062;193972;223361;674792;108.05;76.5;61.5;113;147818;112323;117005;343808
